Date,Total_Demand
2013-01-31,87500.0
2013-02-01,58100.0
2013-02-03,10000.0
2013-02-04,37100.0
2013-02-05,48000.0
2013-02-06,95000.0
2013-02-07,100000.0
2013-02-08,91500.0
2013-02-12,82500.0
2013-02-13,156100.0
2013-02-14,41600.0
2013-02-15,89000.0
2013-02-18,21400.0
2013-02-19,136500.0
2013-02-20,900.0
2013-02-21,60500.0
2013-02-22,71000.0
2013-02-25,70200.0
2013-02-26,3100.0
2013-02-27,49500.0
2013-02-28,88700.0
2013-03-01,113200.0
2013-03-04,114100.0
2013-03-05,70600.0
2013-03-06,59000.0
2013-03-07,24100.0
2013-03-08,26300.0
2013-03-11,59700.0
2013-03-12,91700.0
2013-03-13,69000.0
2013-03-14,47100.0
2013-03-15,40300.0
2013-03-18,108000.0
2013-03-19,117500.0
2013-03-21,54500.0
2013-03-22,124000.0
2013-03-25,182000.0
2013-03-26,117000.0
2013-03-27,71000.0
2013-03-28,1000.0
2013-03-29,171400.0
2013-04-01,126900.0
2013-04-02,96200.0
2013-04-03,70900.0
2013-04-04,24000.0
2013-04-05,121400.0
2013-04-08,2000.0
2013-04-09,74200.0
2013-04-10,10000.0
2013-04-11,31600.0
2013-04-12,54100.0
2013-04-15,68800.0
2013-04-16,77100.0
2013-04-17,50500.0
2013-04-18,5500.0
2013-04-19,17500.0
2013-04-22,99600.0
2013-04-23,55100.0
2013-04-24,95900.0
2013-04-25,8100.0
2013-04-26,61200.0
2013-04-30,26900.0
2013-05-01,101300.0
2013-05-02,36600.0
2013-05-07,83500.0
2013-05-08,102300.0
2013-05-09,21700.0
2013-05-10,53500.0
2013-05-13,97000.0
2013-05-14,27400.0
2013-05-15,59000.0
2013-05-16,9000.0
2013-05-17,118200.0
2013-05-20,70000.0
2013-05-21,78200.0
2013-05-22,21500.0
2013-05-23,94200.0
2013-05-24,14000.0
2013-05-27,63100.0
2013-05-28,40800.0
2013-05-29,2200.0
2013-05-30,88900.0
2013-05-31,15000.0
2013-06-03,137800.0
2013-06-04,49100.0
2013-06-05,32000.0
2013-06-06,119000.0
2013-06-07,15000.0
2013-06-10,35000.0
2013-06-11,38200.0
2013-06-12,32500.0
2013-06-13,72700.0
2013-06-14,63000.0
2013-06-17,59600.0
2013-06-18,59000.0
2013-06-19,104800.0
2013-06-20,10700.0
2013-06-21,39200.0
2013-06-24,88000.0
2013-06-25,26800.0
2013-06-26,81000.0
2013-06-27,94500.0
2013-06-28,122200.0
2013-07-01,84500.0
2013-07-02,59400.0
2013-07-03,105300.0
2013-07-04,40400.0
2013-07-05,3000.0
2013-07-08,55200.0
2013-07-09,11200.0
2013-07-10,69000.0
2013-07-11,35600.0
2013-07-12,41000.0
2013-07-16,31000.0
2013-07-17,70500.0
2013-07-18,116100.0
2013-07-19,59000.0
2013-07-22,67000.0
2013-07-23,28000.0
2013-07-24,43900.0
2013-07-25,35200.0
2013-07-26,86000.0
2013-07-29,72000.0
2013-07-30,60500.0
2013-07-31,31500.0
2013-08-01,150500.0
2013-08-02,76000.0
2013-08-05,38800.0
2013-08-06,57300.0
2013-08-07,24500.0
2013-08-08,64200.0
2013-08-09,92300.0
2013-08-12,115000.0
2013-08-13,10000.0
2013-08-14,10000.0
2013-08-16,33000.0
2013-08-19,54000.0
2013-08-20,56600.0
2013-08-21,78500.0
2013-08-22,61800.0
2013-08-23,39000.0
2013-08-26,82000.0
2013-08-27,26000.0
2013-08-28,88700.0
2013-08-29,100.0
2013-08-30,88800.0
2013-09-02,124700.0
2013-09-03,31200.0
2013-09-04,75500.0
2013-09-05,40000.0
2013-09-06,63100.0
2013-09-09,50200.0
2013-09-10,55900.0
2013-09-11,59100.0
2013-09-12,25600.0
2013-09-13,105000.0
2013-09-17,63500.0
2013-09-18,9500.0
2013-09-19,34800.0
2013-09-20,38700.0
2013-09-24,125300.0
2013-09-25,34000.0
2013-09-26,68800.0
2013-09-27,19000.0
2013-09-30,76500.0
2013-10-01,221700.0
2013-10-02,23000.0
2013-10-03,47000.0
2013-10-04,147000.0
2013-10-07,32200.0
2013-10-08,47700.0
2013-10-09,20500.0
2013-10-10,113000.0
2013-10-11,66200.0
2013-10-14,1000.0
2013-10-15,202600.0
2013-10-16,11000.0
2013-10-17,59200.0
2013-10-18,156200.0
2013-10-21,110500.0
2013-10-22,26100.0
2013-10-23,110100.0
2013-10-24,20900.0
2013-10-25,40200.0
2013-10-28,171200.0
2013-10-29,57200.0
2013-10-30,36400.0
2013-10-31,40800.0
2013-11-01,30000.0
2013-11-05,113000.0
2013-11-06,91000.0
2013-11-07,38100.0
2013-11-08,82400.0
2013-11-11,111200.0
2013-11-12,47300.0
2013-11-13,100800.0
2013-11-14,52000.0
2013-11-15,132300.0
2013-11-17,25000.0
2013-11-18,32600.0
2013-11-19,36200.0
2013-11-20,58100.0
2013-11-21,181900.0
2013-11-22,27000.0
2013-11-25,40300.0
2013-11-26,50200.0
2013-11-27,36000.0
2013-11-28,58200.0
2013-11-29,41200.0
2013-12-02,51300.0
2013-12-03,64500.0
2013-12-04,23500.0
2013-12-05,103800.0
2013-12-06,86000.0
2013-12-09,29800.0
2013-12-10,52200.0
2013-12-11,90100.0
2013-12-12,115500.0
2013-12-13,9300.0
2013-12-16,59500.0
2013-12-17,108000.0
2013-12-18,28000.0
2013-12-19,49100.0
2013-12-20,26000.0
2013-12-24,107000.0
2013-12-25,157300.0
2013-12-26,57000.0
2014-01-06,43200.0
2014-01-07,41500.0
2014-01-08,42700.0
2014-01-09,139100.0
2014-01-10,86200.0
2014-01-13,15000.0
2014-01-14,45700.0
2014-01-15,93600.0
2014-01-16,77000.0
2014-01-17,23500.0
2014-01-20,124000.0
2014-01-21,46300.0
2014-01-22,100000.0
2014-01-23,33000.0
2014-01-24,16000.0
2014-01-27,57500.0
2014-01-28,37900.0
2014-01-29,43800.0
2014-01-30,21000.0
2014-01-31,95300.0
2014-02-03,83800.0
2014-02-04,109100.0
2014-02-05,89000.0
2014-02-06,60500.0
2014-02-10,34700.0
2014-02-12,98300.0
2014-02-13,67600.0
2014-02-14,38000.0
2014-02-17,63900.0
2014-02-18,39400.0
2014-02-19,82300.0
2014-02-20,20200.0
2014-02-21,83300.0
2014-02-24,75000.0
2014-02-25,125800.0
2014-02-26,37100.0
2014-02-27,38000.0
2014-02-28,105000.0
2014-03-03,60100.0
2014-03-04,78500.0
2014-03-05,113400.0
2014-03-06,97000.0
2014-03-07,35100.0
2014-03-10,13900.0
2014-03-11,140000.0
2014-03-12,49000.0
2014-03-13,102000.0
2014-03-14,19000.0
2014-03-16,60000.0
2014-03-17,60500.0
2014-03-18,67000.0
2014-03-19,116700.0
2014-03-20,91000.0
2014-03-24,58000.0
2014-03-25,74900.0
2014-03-26,91300.0
2014-03-27,66000.0
2014-03-28,13800.0
2014-03-31,372000.0
2014-04-01,67000.0
2014-04-02,96800.0
2014-04-03,42000.0
2014-04-04,48500.0
2014-04-07,39000.0
2014-04-08,53200.0
2014-04-09,44900.0
2014-04-10,43700.0
2014-04-11,5000.0
2014-04-14,32000.0
2014-04-15,131000.0
2014-04-16,82500.0
2014-04-17,51800.0
2014-04-18,31700.0
2014-04-21,94000.0
2014-04-22,145300.0
2014-04-23,76100.0
2014-04-24,49300.0
2014-04-25,47700.0
2014-04-28,57300.0
2014-04-30,51500.0
2014-05-01,55000.0
2014-05-02,18500.0
2014-05-06,2000.0
2014-05-07,22000.0
2014-05-08,27000.0
2014-05-09,30000.0
2014-05-12,46000.0
2014-05-13,59400.0
2014-05-14,45000.0
2014-05-15,45900.0
2014-05-16,16900.0
2014-05-19,42600.0
2014-05-20,82500.0
2014-05-21,26600.0
2014-05-22,49000.0
2014-05-23,19200.0
2014-05-26,75800.0
2014-05-27,90600.0
2014-05-28,38300.0
2014-05-29,86300.0
2014-05-30,59000.0
2014-06-02,115500.0
2014-06-03,90000.0
2014-06-04,91000.0
2014-06-05,81600.0
2014-06-06,27800.0
2014-06-09,65000.0
2014-06-10,45400.0
2014-06-11,49300.0
2014-06-12,55000.0
2014-06-13,145000.0
2014-06-16,61400.0
2014-06-17,19000.0
2014-06-18,84500.0
2014-06-19,47700.0
2014-06-20,40500.0
2014-06-23,79900.0
2014-06-24,60000.0
2014-06-25,96000.0
2014-06-26,92700.0
2014-06-27,133700.0
2014-06-29,20000.0
2014-06-30,148500.0
2014-07-01,50000.0
2014-07-02,32900.0
2014-07-03,104000.0
2014-07-04,12700.0
2014-07-07,76000.0
2014-07-08,37300.0
2014-07-09,19000.0
2014-07-10,92500.0
2014-07-11,62500.0
2014-07-14,125300.0
2014-07-15,23500.0
2014-07-16,54100.0
2014-07-17,25500.0
2014-07-18,29000.0
2014-07-22,83000.0
2014-07-23,32300.0
2014-07-24,58500.0
2014-07-25,53100.0
2014-07-28,34000.0
2014-07-29,30900.0
2014-07-30,112300.0
2014-07-31,79000.0
2014-08-01,57700.0
2014-08-04,53200.0
2014-08-05,90200.0
2014-08-06,212000.0
2014-08-07,82300.0
2014-08-08,15300.0
2014-08-11,81000.0
2014-08-15,35600.0
2014-08-18,54000.0
2014-08-19,91000.0
2014-08-20,36300.0
2014-08-21,49000.0
2014-08-22,50800.0
2014-08-25,88000.0
2014-08-26,61200.0
2014-08-27,37000.0
2014-08-28,8000.0
2014-08-29,214000.0
2014-09-01,139300.0
2014-09-02,31400.0
2014-09-03,63100.0
